"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","0","1_6","1","1","1523","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","1","1_3","1","1","961","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","2","1_2","1","1","1730","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","3","2_3","1","2","1302","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","4","2_1","2","2","2007","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","5","2_2","2","2","1834","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","6","2_6","2","2","1845","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","7","2_7","2","2","1787","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","8","1_8","1","1","2872","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","9","2_5","1","2","2383","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","10","1_7","1","1","1206","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","11","2_4","2","2","1817","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","12","2_8","2","2","1911","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","13","1_1","1","1","1542","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","14","1_5","1","1","906","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","15","1_4","1","1","1015","1","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","0","2_7","2","2","862","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","1","2_8","2","2","1013","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","2","2_2","2","2","772","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","3","1_3","1","1","799","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","4","1_1","1","1","1096","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","5","2_3","1","2","1092","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","6","1_7","2","1","1170","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","7","1_8","1","1","1279","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","8","1_4","1","1","780","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","9","2_5","2","2","984","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","10","1_6","1","1","931","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","11","2_4","2","2","937","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","12","1_5","1","1","780","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","13","2_1","1","2","1025","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","14","2_6","2","2","1305","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","15","1_2","1","1","713","2","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","0","2_4","2","2","1321","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","1","1_3","1","1","1149","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","practice1","2","2_1","2","2","1316","3","","","","","","","","","","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
