"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expVersion","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","0","2_1","2","2","1505","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","1","1_4","1","1","2815","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","2","2_2","2","2","1087","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","3","1_1","1","1","806","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","4","2_3","2","2","887","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","5","1_3","1","1","1555","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","6","1_5","1","1","871","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","7","2_6","2","2","1071","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","8","1_6","1","1","797","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","9","1_7","1","1","716","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","10","2_8","2","2","793","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-22T20:41:17.078Z""","practice1","11","1_8","1","1","851","1","","","","","","","","","","1","30","3","""2022-04-22T20:40:49.894Z""","""2022-04-22T21:45:04.410Z""","","","","","","","","","","","","","",""
